"Fecha","Año","Trimestre","Mes","Consumo MW","Ratio"
"2010-01-01",2010,1,"January",392893,0.8533683549641453
"2010-01-02",2010,1,"January",445214,0.6918348111606124
"2010-01-03",2010,1,"January",463879,0.8927031051126166
"2010-01-04",2010,1,"January",490953,0.7215068092123136
"2010-01-05",2010,1,"January",490655,0.6160982010172217
"2010-01-06",2010,1,"January",481835,0.6499730997959412
"2010-01-07",2010,1,"January",478704,0.6002038712349952
"2010-01-08",2010,1,"January",491789,0.8078711803064478
"2010-01-09",2010,1,"January",460158,0.6938851404687725
"2010-01-10",2010,1,"January",453347,0.8680865666055531
"2010-01-11",2010,1,"January",491525,0.744518776473639
"2010-01-12",2010,1,"January",466064,0.7507607665295709
"2010-01-13",2010,1,"January",464761,0.8942122091410705
"2010-01-14",2010,1,"January",443720,0.7232210545841021
"2010-01-15",2010,1,"January",416051,0.6959442362413064
"2010-01-16",2010,1,"January",381146,0.8448321707601714
"2010-01-17",2010,1,"January",365470,0.7996276700509736
"2010-01-18",2010,1,"January",401156,0.8067698741814098
"2010-01-19",2010,1,"January",407724,0.7580938332238215
"2010-01-20",2010,1,"January",410570,0.616716380639548
"2010-01-21",2010,1,"January",423397,0.6029989240211339
"2010-01-22",2010,1,"January",404249,0.778477690723741
"2010-01-23",2010,1,"January",365530,0.6406522531369928
"2010-01-24",2010,1,"January",356677,0.6165227258422803
"2010-01-25",2010,1,"January",390568,0.8177664035274006
"2010-01-26",2010,1,"January",445509,0.8954444442451069
"2010-01-27",2010,1,"January",446333,0.7071291813679832
"2010-01-28",2010,1,"January",434887,0.6843427336462724
"2010-01-29",2010,1,"January",464957,0.8631975168376416
"2010-01-30",2010,1,"January",453339,0.6161292525547614
"2010-01-31",2010,1,"January",431667,0.897613191793571
"2010-02-01",2010,1,"February",448070,0.6917540794977016
"2010-02-02",2010,1,"February",433640,0.7246405038611846
"2010-02-03",2010,1,"February",423501,0.8793543154222838
"2010-02-04",2010,1,"February",428330,0.6265256903601779
"2010-02-05",2010,1,"February",433660,0.7583244716383268
"2010-02-06",2010,1,"February",406954,0.8887783825228139
"2010-02-07",2010,1,"February",412137,0.7583088198802493
"2010-02-08",2010,1,"February",452311,0.855374779315214
"2010-02-09",2010,1,"February",450678,0.6431155502614296
"2010-02-10",2010,1,"February",480286,0.8538828291991272
"2010-02-11",2010,1,"February",460963,0.7895528466444868
"2010-02-12",2010,1,"February",449251,0.8405091896112347
"2010-02-13",2010,1,"February",427062,0.7111868190777824
"2010-02-14",2010,1,"February",407546,0.7150681049759643
"2010-02-15",2010,1,"February",453997,0.6770212910629677
"2010-02-16",2010,1,"February",470448,0.6558721741945501
"2010-02-17",2010,1,"February",453561,0.8750995243550206
"2010-02-18",2010,1,"February",442857,0.7245449427902868
"2010-02-19",2010,1,"February",419365,0.6710277404787998
"2010-02-20",2010,1,"February",397473,0.7907554337038598
"2010-02-21",2010,1,"February",366070,0.8114205797780882
"2010-02-22",2010,1,"February",404170,0.6268744803931293
"2010-02-23",2010,1,"February",409840,0.6222684018846387
"2010-02-24",2010,1,"February",423467,0.6225529985829905
"2010-02-25",2010,1,"February",454893,0.8522264656051786
"2010-02-26",2010,1,"February",455717,0.869222118434215
"2010-02-27",2010,1,"February",412993,0.6108260038725976
"2010-02-28",2010,1,"February",391937,0.8645151570147056
"2010-03-01",2010,1,"March",411568,0.8516071423523079
"2010-03-02",2010,1,"March",430479,0.8866114914228673
"2010-03-03",2010,1,"March",431264,0.7501737041720908
"2010-03-04",2010,1,"March",417673,0.6885023303279203
"2010-03-05",2010,1,"March",416430,0.6271699253623407
"2010-03-06",2010,1,"March",382164,0.7621783191071037
"2010-03-07",2010,1,"March",362357,0.7661789848942215
"2010-03-08",2010,1,"March",375891,0.6227390255184272
